"prideID","tax","organismParts","experimentTypes","instruments"
"PXD002269","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap"
"PXD003178","Drosophila melanogaster (fruit fly)","Embryo","SWATH MS;SRM/MRM;Shotgun proteomics","TripleTOF 6600;LTQ Orbitrap Velos;Q Exactive"
"PXD000266","Mus musculus (mouse)","Renal glomerulus","Bottom-up proteomics","LTQ Orbitrap;Q Exactive"
"PXD001820","Mus musculus (mouse)","Heart","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Velos"
"PXD002950","Homo sapiens (human)","Blood plasma","Shotgun proteomics","LTQ FT"
"PXD003093","Mus musculus (mouse)","Embryo;Oocyte;Oocyte","Shotgun proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD003375","Rattus norvegicus (rat)","Nerve cord","Shotgun proteomics","Q Exactive"
"PXD003879","Arabidopsis thaliana (mouse-ear cress)","Root","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD004124","Plasmodium falciparum (isolate 3d7)","Blood;Blood cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD002541","Mus musculus (mouse)","Cardiac muscle cell;Cell culture","Top-down proteomics","LTQ Orbitrap Velos"
"PXD003207","Sepiadarium austrinum","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD003659","Peptoclostridium difficile (strain 630) (clostridium difficile)","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD004168","Homo sapiens (human)","Cell culture;Fibroblast","Shotgun proteomics","LTQ Orbitrap"
"PXD002918","Sus scrofa domesticus (domestic pig)","Biceps femoris","Shotgun proteomics","LTQ Orbitrap"
"PXD004340","Homo sapiens (human)","Permanent cell line cell;Cell culture","Gel-based experiment","LTQ Orbitrap Elite"
"PXD004462","Homo sapiens (human)","Cell culture;Neuronal stem cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD004678","Homo sapiens (human)","Blood;Dendritic cell","Shotgun proteomics","LTQ FT"
"PXD004245","Homo sapiens (human);Mus musculus (mouse)","Epithelial cell;Liver;Cell culture","Shotgun proteomics","Q Exactive"
"PXD004529","Homo sapiens (human)","Permanent cell line cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD004915","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive"
"PXD004929","Mus musculus (mouse)","Fibroblast","Shotgun proteomics","Q Exactive"
"PXD002971","Homo sapiens (human)","Jurkat cell;T cell;Cell culture;T-lymphocyte cell line","Shotgun proteomics","Q Exactive"
"PXD003868","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD003978","Homo sapiens (human)","Mesenchymal cell;Whole body","Shotgun proteomics","Q Exactive"
"PXD004190","Homo sapiens (human);Mus musculus (mouse)","Cell culture;Brain","Shotgun proteomics","LTQ Orbitrap;Q Exactive"
"PXD004447","Homo sapiens (human)","T cell;Cell culture","Shotgun proteomics","Q Exactive Plus;Orbitrap Fusion"
"PXD004889","Rattus norvegicus (rat)","Brain;Primary cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD004606","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD004745","Mus musculus (mouse)","Brown adipose tissue","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD004801","Homo sapiens (human)","Leukocyte;Cell culture","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD004977","Homo sapiens (human)","Cell culture;Neuronal stem cell","Shotgun proteomics","Q Exactive Plus"
"PXD005018","Homo sapiens (human)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD001789","Mus musculus (mouse)","T cell","Shotgun proteomics","LTQ Orbitrap"
"PXD004273","Homo sapiens (human)","Hela cell","Shotgun proteomics","Q Exactive HF"
"PXD005180","Plasmodium berghei","","Shotgun proteomics","Orbitrap Fusion"
"PXD004888","Fusobacterium nucleatum subsp. nucleatum atcc 25586;Porphyromonas gingivalis atcc 33277","","Shotgun proteomics","LTQ Orbitrap"
"PXD005271","Mus musculus (mouse)","Corpus callosum","Shotgun proteomics","LTQ Orbitrap XL"
"PXD003379","Mus musculus (mouse)","Sensory epithelial cell;Inner ear","Shotgun proteomics","Q Exactive"
"PXD005346","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD005509","Homo sapiens (human)","Cell line cell;Hela cell","Shotgun proteomics","Q Exactive HF"
"PXD005615","Cyanidioschyzon merolae","Photosynthetic cell;Cell suspension culture","Shotgun proteomics;Gel-based experiment","LTQ FT;Q Exactive"
"PXD004455","Bombyx mori (silk moth)","Epithelial cell;Saliva","Shotgun proteomics","Q Exactive"
"PXD005849","Homo sapiens (human)","Hct-166 cell","Shotgun proteomics","Orbitrap Fusion;LTQ Orbitrap Velos"
"PXD005857","Homo sapiens (human)","Hek-293t cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD004635","Homo sapiens (human)","Leukocyte","Shotgun proteomics","LTQ Orbitrap"
"PXD005304","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD005714","Schizosaccharomyces pombe","","Shotgun proteomics","Orbitrap Fusion"
"PXD005751","Mus musculus (mouse)","Myoblast","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD004779","Homo sapiens (human)","Cell culture;Hepatocyte","Shotgun proteomics","LTQ Orbitrap"
"PXD005065","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive"
"PXD006596","Drosophila melanogaster (fruit fly)","Embryo;Early embryonic cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD006702","Homo sapiens (human)","Blood;T cell","Shotgun proteomics","LTQ Orbitrap;Q Exactive"
"PXD006766","Escherichia coli","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD005769","Plasmodium vivax sal-1;Saimiri boliviensis boliviensis","Erythrocyte","Shotgun proteomics","LTQ Orbitrap XL ETD"
"PXD006660","Chaetomium thermophilum","","Chemical cross-linking coupled with mass spectrometry proteomics;Shotgun proteomics","LTQ Orbitrap Velos"
"PXD006717","Escherichia coli","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD004450","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD006810","Homo sapiens (human);Escherichia coli;Mus musculus (mouse)","Epithelial cell;Colon","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD002805","Triticum aestivum (wheat)","Endosperm","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD006224","Bacteria;Sus scrofa domesticus (domestic pig)","","Shotgun proteomics","Q Exactive"
"PXD006438","Homo sapiens (human);Schistosoma haematobium","Urine","Shotgun proteomics","Q Exactive"
"PXD007582","Mus musculus (mouse)","Macrophage;Cell culture","Shotgun proteomics","Q Exactive"
"PXD008039","Hydra vulgaris","Whole body","Gel-based experiment","LTQ Orbitrap"
"PXD008056","Homo sapiens (human)","Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD004031","Botryotinia fuckeliana (strain b05.10) (noble rot fungus) (botrytis cinerea)","Mycelium","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD005425","Homo sapiens (human)","Permanent cell line cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD006216","Mus musculus (mouse)","Cell culture","Gel-based experiment","Q Exactive"
"PXD006914","Homo sapiens (human)","Skin","Shotgun proteomics","Q Exactive"
"PXD007703","Mus musculus (mouse)","Hippocampal neuron;Hippocampal pyramidal neuron;Glial cell;Cerebellum;Brain;Purkinje cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite;Q Exactive Plus"
"PXD007795","Mus musculus (mouse)","Brain","Shotgun proteomics","TripleTOF 5600"
"PXD005454","Mus musculus (mouse)","Epithelial cell;Kidney","Shotgun proteomics","Q Exactive"
"PXD005587","Carbapenem-resistant klebsiella pneumoniae","Cell suspension culture;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD005664","Homo sapiens (human)","Epithelial cell of lung","Shotgun proteomics","Q Exactive"
"PXD003459","Homo sapiens (human)","Blood cell","Shotgun proteomics","LTQ Orbitrap"
"PXD005285","Homo sapiens (human)","Multipotent stem cell;Embryonic stem cell;Cell culture;Stem cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD006424","Homo sapiens (human)","Eye","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD006559","Homo sapiens (human)","Platelet;Blood platelet","Shotgun proteomics","Q Exactive"
"PXD006638","Homo sapiens (human)","Haploid cell","Shotgun proteomics","Q Exactive"
"PXD006644","Caenorhabditis elegans","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD006847","Homo sapiens (human)","Pancreatic islet","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD006993","Xenopus laevis (african clawed frog)","Nerve cord","Shotgun proteomics","Q Exactive"
"PXD007052","Homo sapiens (human);Mus musculus (mouse)","Liver","SWATH MS;Shotgun proteomics","Orbitrap Fusion Lumos;Orbitrap Fusion;LTQ Orbitrap Velos;Q Exactive HF"
"PXD007099","Mus musculus (mouse)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion;Q Exactive"
"PXD007817","Bacteria","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD008270","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap;Q Exactive"
"PXD008606","Homo sapiens (human)","T cell","SRM/MRM;Affinity purification coupled with mass spectrometry proteomics","TSQ Vantage;Q Exactive"
"PXD005303","Homo sapiens (human)","Epithelial cell;Breast","Shotgun proteomics","Q Exactive"
"PXD005766","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive Plus"
"PXD007160","Homo sapiens (human)","Brain","Shotgun proteomics","Orbitrap Fusion"
"PXD007183","Giardia lamblia atcc 50803","Trophozoite","Shotgun proteomics","Q Exactive"
"PXD007874","Mus musculus (mouse)","Permanent cell line cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD008250","Plasmodium falciparum palo alto/uganda","Erythrocyte;Erythrocyte","Shotgun proteomics","LTQ FT"
"PXD003217","Toxoplasma gondii me49;Mus musculus (mouse)","Fibroblast","Shotgun proteomics","Q Exactive"
"PXD007239","Mus musculus (mouse)","Macrophage","Shotgun proteomics","Q Exactive"
"PXD008128","Caulobacter crescentus cb15","","Shotgun proteomics","LTQ FT"
"PXD008833","Mus musculus (mouse)","","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD002213","Homo sapiens (human)","Ascites","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD007139","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD007182","Rattus norvegicus (rat)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD007691","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive"
"PXD008731","Homo sapiens (human)","Permanent cell line cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD008979","Mus musculus (mouse)","Brain","Affinity purification coupled with mass spectrometry proteomics","Synapt MS;LTQ Orbitrap"
"PXD005821","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion;Q Exactive"
"PXD006909","Mus musculus (mouse);Mycobacterium tuberculosis","Macrophage","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap;Q Exactive"
"PXD008726","Mus musculus (mouse)","Bone marrow;Macrophage","Shotgun proteomics","Q Exactive"
"PXD008868","Homo sapiens (human)","Epithelial cell;Cell culture","Chemical cross-linking coupled with mass spectrometry proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD009051","Homo sapiens (human)","Embryonic stem cell;Kidney","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD009450","Homo sapiens (human)","Colon","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD004751","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Q Exactive"
"PXD006407","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD006522","Homo sapiens (human)","Epithelial cell;Kidney","Shotgun proteomics","Q Exactive"
"PXD007546","Mus musculus (mouse)","Fibroblast","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD008035","Homo sapiens (human)","Cell culture;Mesenchymal stem cell of wharton's jelly","Shotgun proteomics","Q Exactive"
"PXD008260","Homo sapiens (human)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD008747","Mus musculus (mouse)","T cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD009426","Homo sapiens (human);Rattus rattus (black rat)","Spleen;Pancreas;Melanocyte","Shotgun proteomics","Q Exactive"
"PXD009621","Mus musculus (mouse)","Fibroblast","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD009803","Homo sapiens (human)","Kidney;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD005164","Escherichia coli","","Shotgun proteomics","Q Exactive"
"PXD005944","Homo sapiens (human)","Leukocyte;Jurkat cell","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD005945","Homo sapiens (human)","Cell suspension culture;Jurkat cell;Cell culture;Hela cell","Shotgun proteomics","Q Exactive"
"PXD007175","Oryza sativa (rice)","Leaf","Shotgun proteomics","Q Exactive"
"PXD007706","Aspergillus flavus var. flavus","Whole body","Shotgun proteomics","Q Exactive"
"PXD007943","Giardia intestinalis assemblage b","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD008599","Mus musculus (mouse)","Brown adipose tissue","Shotgun proteomics","Q Exactive"
"PXD008844","Mus musculus (mouse)","Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD008971","Arabidopsis thaliana (mouse-ear cress)","Plant cell;Seedling","Shotgun proteomics","Q Exactive"
"PXD009262","Mus musculus (mouse)","Liver","Shotgun proteomics","Q Exactive"
"PXD009464","Hordeum vulgare (barley)","Seed;Plant cell","Shotgun proteomics","Q Exactive"
"PXD009741","Homo sapiens (human)","Hela cell","Shotgun proteomics","Q Exactive"
"PXD009759","Homo sapiens (human)","Hela cell","Shotgun proteomics","Q Exactive"
"PXD009760","Homo sapiens (human)","Hela cell","Shotgun proteomics","Q Exactive"
"PXD010606","Homo sapiens (human);Rattus rattus (black rat)","Spleen;Cell culture;Lung","Shotgun proteomics","LTQ Orbitrap"
"PXD003121","Homo sapiens (human)","Oocyte;Oocyte","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD004440","Mus musculus (mouse)","Embryonic fibroblast","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD008660","Mus musculus (mouse)","Adipose tissue;Adipose dendritic cell","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD008913","Mus musculus (mouse)","Liver","Shotgun proteomics","Q Exactive"
"PXD008914","Mus musculus (mouse)","Embryonic stem cell;Cell culture","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Velos"
"PXD009154","Homo sapiens (human)","","Gel-based experiment","LTQ"
"PXD009207","Arabidopsis thaliana (mouse-ear cress)","Seed;Seedling","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD009307","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD009397","Arabidopsis thaliana (mouse-ear cress)","Seedling","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD009484","Arabidopsis thaliana (mouse-ear cress)","Seedling","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD005847","Homo sapiens (human)","Blood serum","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD006335","Homo sapiens (human)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD008079","Homo sapiens (human);Mus musculus (mouse)","Placenta","Shotgun proteomics","Q Exactive"
"PXD008497","Homo sapiens (human)","Permanent cell line cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD009137","Mus musculus (mouse)","Microglia","Shotgun proteomics","Orbitrap Fusion"
"PXD009254","Homo sapiens (human)","Pancreas","Shotgun proteomics","Q Exactive"
"PXD009424","Homo sapiens (human);Rattus norvegicus (rat);Mus musculus (mouse)","Skin;Fibroblast","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap"
"PXD009744","Homo sapiens (human);Mus musculus (mouse)","Liver;Neuroblastoma cell;Ovary;Liver;Ovary","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD010103","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD010192","Rattus norvegicus (rat)","Parenchyma","Shotgun proteomics","Bruker Daltonics instrument model"
"PXD010298","Octopus vulgaris","","Shotgun proteomics","LTQ Orbitrap Elite;Q Exactive"
"PXD010386","Mus musculus (mouse)","Brain","Gel-based experiment","LTQ Orbitrap Elite"
"PXD010498","Peptoclostridium difficile (strain 630) (clostridium difficile)","","Shotgun proteomics","TripleTOF 5600;LTQ Orbitrap Elite"
"PXD001100","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD001262","Saccharomyces cerevisiae (baker's yeast)","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD002380","Alternaria tomato","Whole body","Shotgun proteomics","Q Exactive"
"PXD003218","Homo sapiens (human)","Blood serum","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD003698","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap;LTQ Orbitrap Velos"
"PXD004088","Plasmodium falciparum (isolate 3d7)","Blood;Blood cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD004882","Mus musculus (mouse)","Cell culture;Fibroblast","Shotgun proteomics","LTQ Orbitrap"
"PXD005059","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Q Exactive"
"PXD006577","Streptomyces sp. mbt76","","Shotgun proteomics","LTQ Orbitrap"
"PXD007168","Saccharomyces cerevisiae (baker's yeast)","Haploid","Top-down proteomics","Bruker Daltonics instrument model"
"PXD007594","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD008476","Homo sapiens (human);Mus musculus (mouse)","Cell culture","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion ETD"
"PXD008574","Toxoplasma gondii me49;Toxoplasma gondii","Cell suspension culture","Shotgun proteomics","Bruker Daltonics instrument model;Q Exactive"
"PXD008863","Homo sapiens (human)","Fibroblast","Gel-based experiment","Q Exactive"
"PXD009874","Staphylococcus aureus","","Shotgun proteomics","LTQ Orbitrap Elite;LTQ Orbitrap Velos"
"PXD010075","Homo sapiens (human)","Hepatocyte","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD010326","Mus musculus (mouse)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD010440","Arabidopsis thaliana (mouse-ear cress)","Leaf;Plant cell","Shotgun proteomics","Q Exactive"
"PXD010460","Dictyostelium discoideum (slime mold)","Permanent cell line cell","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD010831","Homo sapiens (human)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD010870","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD006115","Rattus norvegicus (rat)","H9c2 cell;Cardiocyte differentiation","Shotgun proteomics","Q Exactive HF"
"PXD007154","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Synapt MS;Orbitrap Fusion;Q Exactive"
"PXD007762","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive Plus;Orbitrap Fusion"
"PXD008568","Homo sapiens (human)","Blood plasma","Top-down proteomics","Q Exactive"
"PXD009215","Vibrio vulnificus cmcp6","Cell culture","Shotgun proteomics","Q Exactive"
"PXD009463","Escherichia coli","","Shotgun proteomics","Q Exactive"
"PXD010398","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD010580","Arabidopsis thaliana (mouse-ear cress)","Photosynthetic cell;Leaf;Plant cell","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD010805","Homo sapiens (human)","","Shotgun proteomics","Orbitrap Fusion"
"PXD010847","Chlamydomonas reinhardtii","Photosynthetic cell;Plant cell","Shotgun proteomics","LTQ Orbitrap XL"
"PXD010944","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","LTQ Orbitrap;Q Exactive"
"PXD011146","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive"
"PXD011295","Rattus norvegicus (rat)","Spleen","Shotgun proteomics","Q Exactive"
"PXD009706","Homo sapiens (human)","","Shotgun proteomics","6520 Quadrupole Time-of-Flight LC/MS"
"PXD011002","Vitis vinifera (grape)","Leaf","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD011518","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD011960","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD006546","Staphylococcus aureus","","Shotgun proteomics","Orbitrap Fusion"
"PXD008099","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive"
"PXD009099","Arabidopsis thaliana (mouse-ear cress)","Plant cell","Shotgun proteomics","Q Exactive"
"PXD009822","Cyanistes caeruleus","Egg","Shotgun proteomics","Q Exactive"
"PXD009975","Murine hepatitis virus strain a59;Mus musculus (mouse)","Fibroblast","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD010664","Mus musculus (mouse)","Brain;Blood plasma;Brain","Shotgun proteomics","Q Exactive"
"PXD010779","Homo sapiens (human)","Lymph node;Lung;Lung","SRM/MRM;Shotgun proteomics","LTQ Orbitrap Elite"
"PXD010895","Homo sapiens (human);Gallus gallus (chicken);Bos taurus (bovine)","","Chemical cross-linking coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive HF;Q Exactive"
"PXD011545","Zymomonas mobilis","Permanent cell line cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD011696","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD011716","Arabidopsis thaliana (mouse-ear cress)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD012117","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive"
"PXD012204","Mus musculus (mouse)","","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Velos;Q Exactive"
"PXD012307","Mus musculus (mouse)","Lung","Shotgun proteomics","Q Exactive"
"PXD012416","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD003834","Schizosaccharomyces pombe dm3650","","Shotgun proteomics","LTQ Orbitrap"
"PXD011736","Homo sapiens (human)","Embryonic stem cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD012148","Mus musculus (mouse)","Blood plasma","Shotgun proteomics","Q Exactive"
"PXD012193","Mus musculus (mouse)","Urine","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD012203","Homo sapiens (human)","Brain;Brain","Shotgun proteomics","Q Exactive"
"PXD012608","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD012650","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Q Exactive Plus"
